acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.73,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.71,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.62,7.73,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.62,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.62,7.71,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.62,7.72,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.64,7.71,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.63,7.71,-44.04,2
